Code,Borough,Year,Crime rate,,,,,,,,,,
E09000505,Sutton,2016,45.0,,,,,,,,,,
E09000253,Harrow,2016,45.5,,,,,,,,,,
E09000055,Bexley,2016,45.6,,,,,,,,,,
E09000361,Kingston upon Thames,2016,49.6,,,,,,,,,,
E09000469,Richmond upon Thames,2016,49.9,,,,,,,,,,
E09000052,Bexley,2013,50.0,,,,,,,,,,
E09000251,Harrow,2014,50.1,,,,,,,,,,
E09000250,Harrow,2013,50.3,,,,,,,,,,
E09000053,Bexley,2014,51.2,,,,,,,,,,
E09000054,Bexley,2015,52.2,,,,,,,,,,
E09000050,Bexley,2011,52.3,,,,,,,,,,
E09000051,Bexley,2012,52.7,,,,,,,,,,
E09000091,Bromley,2016,52.7,,,,,,,,,,
E09000502,Sutton,2013,53.1,,,,,,,,,,
E09000252,Harrow,2015,53.3,,,,,,,,,,
E09000415,Merton,2016,53.5,,,,,,,,,,
E09000504,Sutton,2015,54.7,,,,,,,,,,
E09000466,Richmond upon Thames,2013,55.0,,,,,,,,,,
E09000468,Richmond upon Thames,2015,55.1,,,,,,,,,,
E09000503,Sutton,2014,55.4,,,,,,,,,,
E09000249,Harrow,2012,55.5,,,,,,,,,,
E09000358,Kingston upon Thames,2013,55.7,,,,,,,,,,
E09000467,Richmond upon Thames,2014,55.7,,,,,,,,,,
E09000037,Barnet,2016,55.8,,,,,,,,,,
E09000451,Redbridge,2016,56.7,,,,,,,,,,
E09000412,Merton,2013,57.1,,,,,,,,,,
E09000359,Kingston upon Thames,2014,57.5,,,,,,,,,,
E09000501,Sutton,2012,57.8,,,,,,,,,,
E09000271,Havering,2016,58.1,,,,,,,,,,
E09000360,Kingston upon Thames,2015,58.5,,,,,,,,,,
E09000163,Enfield,2016,58.5,,,,,,,,,,
E09000248,Harrow,2011,58.9,,,,,,,,,,
E09000049,Bexley,2010,59.6,,,,,,,,,,
E09000413,Merton,2014,59.8,,,,,,,,,,
E09000088,Bromley,2013,61.2,,,,,,,,,,
E09000500,Sutton,2011,61.4,,,,,,,,,,
E09000034,Barnet,2013,61.6,,,,,,,,,,
E09000035,Barnet,2014,61.9,,,,,,,,,,
